Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
35957157,Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,"Duke, Annie",,"=""0735216355""","=""9780735216358""",0,3.84,Portfolio,Hardcover,288,2018,2018,,2023/07/21,to-read,to-read (#21),to-read,,,,0,0
18745837,Living The Best Day Ever,Hendri Coetzee,"Coetzee, Hendri",,"=""0620570601""","=""9780620570602""",0,4.37,Hendri Coetzee Trust,Hardcover,327,2013,2013,,2023/07/21,to-read,to-read (#20),to-read,,,,0,0
20980987,"The Art of Asking; or, How I Learned to Stop Worrying and Let People Help",Amanda Palmer,"Palmer, Amanda",Brené Brown,"=""1455581089""","=""9781455581085""",0,3.93,Grand Central Publishing,Hardcover,339,2014,2014,,2023/07/21,to-read,to-read (#19),to-read,,,,0,0
56465,The Gift of Fear: Survival Signals That Protect Us from Violence,Gavin de Becker,"Becker, Gavin de",,"=""0747538352""","=""9780747538356""",0,4.17,Bloomsbury Publishing PLC,Paperback,352,2000,1996,,2023/07/21,to-read,to-read (#18),to-read,,,,0,0
25135194,Prisoners of Geography: Ten Maps That Tell You Everything You Need to Know About Global Politics,Tim  Marshall,"Marshall, Tim",,"=""1783961414""","=""9781783961412""",0,4.20,Elliott & Thompson,Hardcover,256,2015,2015,,2023/07/21,to-read,to-read (#17),to-read,,,,0,0
21251323,Everyday Sexism,Laura Bates,"Bates, Laura",,"=""1471131572""","=""9781471131578""",0,4.26,Simon & Schuster,Hardcover,384,2014,2014,,2023/07/21,to-read,to-read (#16),to-read,,,,0,0
61374668,"Vision to Reality: Stop Working, Start Living",Curtis L. Jenkins,"Jenkins, Curtis L.",,"=""1631957570""","=""9781631957574""",0,4.31,Morgan James Publishing,Paperback,233,2022,2022,,2023/07/21,to-read,to-read (#15),to-read,,,,0,0
58944475,Fierce Love: Creating a Love that Lasts—One Conversation at a Time,Susan Scott,"Scott, Susan",,"=""1713651521""","=""9781713651529""",0,4.31,Thomas Nelson on Brilliance Audio,Audio CD,,2022,2022,,2023/07/21,to-read,to-read (#14),to-read,,,,0,0
9542311,Packing for Mars: The Curious Science of Life in the Void,Mary Roach,"Roach, Mary",,"=""0393339912""","=""9780393339918""",0,3.95,W. W. Norton & Company,Paperback,334,2011,2010,,2023/07/21,to-read,to-read (#13),to-read,,,,0,0
57223099,Surviving Chaos: How I Found Peace at A Beach Bar,Harold Phifer,"Phifer, Harold",Beth  Kallman-Werner,"=""""","=""""",0,4.28,,Kindle Edition,318,2021,2021,,2023/07/21,to-read,to-read (#12),to-read,,,,0,0
11721966,Good Strategy Bad Strategy: The Difference and Why It Matters,Richard P. Rumelt,"Rumelt, Richard P.",,"=""0307886255""","=""9780307886255""",0,4.13,Crown Business,ebook,320,2011,2011,,2023/07/21,to-read,to-read (#11),to-read,,,,0,0
495395,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,A.J. Jacobs,"Jacobs, A.J.",,"=""0743291476""","=""9780743291477""",0,3.75,Simon & Schuster,Hardcover,388,2007,2007,,2023/07/21,to-read,to-read (#10),to-read,,,,0,0
1713426,Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,"Ariely, Dan",,"=""""","=""""",0,4.12,HarperCollins Canada ,Hardcover,247,2008,2008,,2023/07/21,to-read,to-read (#9),to-read,,,,0,0
38820046,21 Lessons for the 21st Century,Yuval Noah Harari,"Harari, Yuval Noah",,"=""0525512179""","=""9780525512172""",0,4.17,Random House,Hardcover,372,2018,2018,,2023/07/21,to-read,to-read (#8),to-read,,,,0,0
18077875,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,"McKeown, Greg",,"=""0804137382""","=""9780804137386""",0,4.07,Currency,Hardcover,260,2014,2011,,2023/07/21,to-read,to-read (#7),to-read,,,,0,0
24,In a Sunburned Country,Bill Bryson,"Bryson, Bill",,"=""0767903862""","=""9780767903868""",0,4.07,Broadway Books,Paperback,335,2001,2000,,2023/07/21,to-read,to-read (#6),to-read,,,,0,0
6289283,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,"McDougall, Christopher",,"=""""","=""""",0,4.30,Knopf,Hardcover,287,2009,2009,,2023/07/21,to-read,to-read (#5),to-read,,,,0,0
7507825,At Home: A Short History of Private Life,Bill Bryson,"Bryson, Bill",,"=""0767919386""","=""9780767919388""",0,3.98,Doubleday,Hardcover,497,2010,2010,,2023/07/21,to-read,to-read (#4),to-read,,,,0,0
1869,Nickel and Dimed,Barbara Ehrenreich,"Ehrenreich, Barbara",,"=""0805063897""","=""9780805063899""",0,3.65,Owl Books (Henry Holt),Paperback,240,2002,2001,,2023/07/21,to-read,to-read (#1),to-read,,,,0,0
